'RawData - Storage 161645 - 1ml_diluted3.spc'
'Wavelength nm.','Abs.'
300.00,0.065
300.50,0.063
301.00,0.062
301.50,0.061
302.00,0.060
302.50,0.059
303.00,0.058
303.50,0.057
304.00,0.056
304.50,0.055
305.00,0.054
305.50,0.054
306.00,0.053
306.50,0.051
307.00,0.051
307.50,0.049
308.00,0.048
308.50,0.047
309.00,0.046
309.50,0.045
310.00,0.044
310.50,0.044
311.00,0.043
311.50,0.042
312.00,0.041
312.50,0.041
313.00,0.040
313.50,0.039
314.00,0.039
314.50,0.039
315.00,0.038
315.50,0.037
316.00,0.036
316.50,0.036
317.00,0.036
317.50,0.035
318.00,0.035
318.50,0.034
319.00,0.034
319.50,0.034
320.00,0.034
320.50,0.033
321.00,0.032
321.50,0.032
322.00,0.032
322.50,0.032
323.00,0.032
323.50,0.032
324.00,0.032
324.50,0.032
325.00,0.032
325.50,0.033
326.00,0.033
326.50,0.033
327.00,0.033
327.50,0.034
328.00,0.034
328.50,0.035
329.00,0.035
329.50,0.036
330.00,0.036
330.50,0.037
331.00,0.037
331.50,0.038
332.00,0.039
332.50,0.040
333.00,0.040
333.50,0.041
334.00,0.042
334.50,0.043
335.00,0.044
335.50,0.045
336.00,0.046
336.50,0.048
337.00,0.049
337.50,0.051
338.00,0.052
338.50,0.054
339.00,0.056
339.50,0.058
340.00,0.060
340.50,0.061
341.00,0.064
341.50,0.065
342.00,0.067
342.50,0.069
343.00,0.070
343.50,0.073
344.00,0.075
344.50,0.076
345.00,0.078
345.50,0.079
346.00,0.080
346.50,0.082
347.00,0.084
347.50,0.085
348.00,0.086
348.50,0.088
349.00,0.089
349.50,0.090
350.00,0.091
350.50,0.092
351.00,0.093
351.50,0.094
352.00,0.095
352.50,0.096
353.00,0.097
353.50,0.098
354.00,0.099
354.50,0.100
355.00,0.100
355.50,0.102
356.00,0.102
356.50,0.103
357.00,0.104
357.50,0.105
358.00,0.106
358.50,0.107
359.00,0.108
359.50,0.109
360.00,0.110
360.50,0.111
361.00,0.112
361.50,0.113
362.00,0.114
362.50,0.115
363.00,0.116
363.50,0.117
364.00,0.119
364.50,0.120
365.00,0.121
365.50,0.122
366.00,0.123
366.50,0.124
367.00,0.126
367.50,0.127
368.00,0.127
368.50,0.129
369.00,0.130
369.50,0.131
370.00,0.133
370.50,0.134
371.00,0.135
371.50,0.136
372.00,0.137
372.50,0.139
373.00,0.140
373.50,0.141
374.00,0.142
374.50,0.144
375.00,0.145
375.50,0.146
376.00,0.147
376.50,0.148
377.00,0.150
377.50,0.151
378.00,0.152
378.50,0.153
379.00,0.154
379.50,0.156
380.00,0.157
380.50,0.158
381.00,0.159
381.50,0.160
382.00,0.161
382.50,0.163
383.00,0.164
383.50,0.165
384.00,0.166
384.50,0.167
385.00,0.169
385.50,0.170
386.00,0.171
386.50,0.172
387.00,0.173
387.50,0.175
388.00,0.176
388.50,0.177
389.00,0.179
389.50,0.180
390.00,0.181
390.50,0.183
391.00,0.184
391.50,0.185
392.00,0.187
392.50,0.188
393.00,0.190
393.50,0.191
394.00,0.193
394.50,0.194
395.00,0.196
395.50,0.197
396.00,0.199
396.50,0.200
397.00,0.202
397.50,0.203
398.00,0.205
398.50,0.207
399.00,0.208
399.50,0.210
400.00,0.211
400.50,0.213
401.00,0.215
401.50,0.216
402.00,0.218
402.50,0.220
403.00,0.221
403.50,0.223
404.00,0.225
404.50,0.227
405.00,0.229
405.50,0.230
406.00,0.232
406.50,0.234
407.00,0.236
407.50,0.238
408.00,0.240
408.50,0.242
409.00,0.243
409.50,0.245
410.00,0.247
410.50,0.249
411.00,0.250
411.50,0.252
412.00,0.254
412.50,0.256
413.00,0.257
413.50,0.259
414.00,0.261
414.50,0.262
415.00,0.264
415.50,0.266
416.00,0.267
416.50,0.268
417.00,0.270
417.50,0.272
418.00,0.273
418.50,0.274
419.00,0.276
419.50,0.277
420.00,0.278
420.50,0.279
421.00,0.280
421.50,0.281
422.00,0.282
422.50,0.283
423.00,0.284
423.50,0.285
424.00,0.286
424.50,0.287
425.00,0.287
425.50,0.288
426.00,0.289
426.50,0.289
427.00,0.290
427.50,0.290
428.00,0.291
428.50,0.291
429.00,0.292
429.50,0.292
430.00,0.292
430.50,0.292
431.00,0.293
431.50,0.293
432.00,0.293
432.50,0.293
433.00,0.293
433.50,0.293
434.00,0.293
434.50,0.292
435.00,0.292
435.50,0.292
436.00,0.291
436.50,0.291
437.00,0.291
437.50,0.290
438.00,0.290
438.50,0.289
439.00,0.289
439.50,0.288
440.00,0.288
440.50,0.287
441.00,0.286
441.50,0.285
442.00,0.285
442.50,0.284
443.00,0.283
443.50,0.282
444.00,0.281
444.50,0.280
445.00,0.279
445.50,0.278
446.00,0.277
446.50,0.276
447.00,0.275
447.50,0.273
448.00,0.272
448.50,0.271
449.00,0.270
449.50,0.268
450.00,0.267
450.50,0.266
451.00,0.264
451.50,0.263
452.00,0.262
452.50,0.260
453.00,0.259
453.50,0.257
454.00,0.256
454.50,0.254
455.00,0.253
455.50,0.251
456.00,0.249
456.50,0.248
457.00,0.246
457.50,0.244
458.00,0.243
458.50,0.241
459.00,0.239
459.50,0.237
460.00,0.236
460.50,0.234
461.00,0.232
461.50,0.230
462.00,0.228
462.50,0.227
463.00,0.225
463.50,0.223
