'RawData - Storage 160641 - 2ml_diluted3.spc'
'Wavelength nm.','Abs.'
300.00,0.181
300.50,0.178
301.00,0.174
301.50,0.171
302.00,0.167
302.50,0.164
303.00,0.160
303.50,0.157
304.00,0.153
304.50,0.150
305.00,0.147
305.50,0.144
306.00,0.141
306.50,0.138
307.00,0.134
307.50,0.131
308.00,0.128
308.50,0.125
309.00,0.122
309.50,0.119
310.00,0.116
310.50,0.113
311.00,0.111
311.50,0.108
312.00,0.106
312.50,0.104
313.00,0.102
313.50,0.100
314.00,0.098
314.50,0.096
315.00,0.095
315.50,0.093
316.00,0.091
316.50,0.090
317.00,0.088
317.50,0.087
318.00,0.086
318.50,0.085
319.00,0.084
319.50,0.083
320.00,0.082
320.50,0.082
321.00,0.081
321.50,0.080
322.00,0.080
322.50,0.080
323.00,0.080
323.50,0.080
324.00,0.080
324.50,0.080
325.00,0.081
325.50,0.082
326.00,0.083
326.50,0.084
327.00,0.085
327.50,0.086
328.00,0.087
328.50,0.088
329.00,0.090
329.50,0.092
330.00,0.094
330.50,0.096
331.00,0.099
331.50,0.102
332.00,0.104
332.50,0.107
333.00,0.110
333.50,0.114
334.00,0.118
334.50,0.122
335.00,0.126
335.50,0.131
336.00,0.135
336.50,0.141
337.00,0.146
337.50,0.152
338.00,0.158
338.50,0.164
339.00,0.170
339.50,0.177
340.00,0.184
340.50,0.190
341.00,0.198
341.50,0.204
342.00,0.211
342.50,0.218
343.00,0.224
343.50,0.232
344.00,0.238
344.50,0.245
345.00,0.252
345.50,0.259
346.00,0.264
346.50,0.270
347.00,0.276
347.50,0.281
348.00,0.287
348.50,0.293
349.00,0.298
349.50,0.304
350.00,0.308
350.50,0.312
351.00,0.317
351.50,0.322
352.00,0.326
352.50,0.330
353.00,0.335
353.50,0.339
354.00,0.343
354.50,0.347
355.00,0.351
355.50,0.355
356.00,0.359
356.50,0.363
357.00,0.368
357.50,0.373
358.00,0.377
358.50,0.381
359.00,0.386
359.50,0.390
360.00,0.394
360.50,0.400
361.00,0.405
361.50,0.409
362.00,0.413
362.50,0.419
363.00,0.424
363.50,0.428
364.00,0.433
364.50,0.438
365.00,0.443
365.50,0.449
366.00,0.454
366.50,0.459
367.00,0.465
367.50,0.471
368.00,0.476
368.50,0.481
369.00,0.486
369.50,0.492
370.00,0.497
370.50,0.503
371.00,0.509
371.50,0.514
372.00,0.519
372.50,0.524
373.00,0.530
373.50,0.535
374.00,0.541
374.50,0.546
375.00,0.551
375.50,0.556
376.00,0.561
376.50,0.566
377.00,0.572
377.50,0.577
378.00,0.582
378.50,0.587
379.00,0.592
379.50,0.597
380.00,0.602
380.50,0.607
381.00,0.611
381.50,0.617
382.00,0.621
382.50,0.626
383.00,0.632
383.50,0.637
384.00,0.642
384.50,0.647
385.00,0.652
385.50,0.658
386.00,0.663
386.50,0.668
387.00,0.673
387.50,0.679
388.00,0.684
388.50,0.690
389.00,0.695
389.50,0.700
390.00,0.706
390.50,0.712
391.00,0.718
391.50,0.724
392.00,0.730
392.50,0.735
393.00,0.741
393.50,0.747
394.00,0.753
394.50,0.759
395.00,0.766
395.50,0.772
396.00,0.778
396.50,0.784
397.00,0.790
397.50,0.797
398.00,0.803
398.50,0.809
399.00,0.815
399.50,0.821
400.00,0.827
400.50,0.835
401.00,0.841
401.50,0.847
402.00,0.853
402.50,0.860
403.00,0.866
403.50,0.873
404.00,0.880
404.50,0.886
405.00,0.892
405.50,0.898
406.00,0.904
406.50,0.910
407.00,0.917
407.50,0.924
408.00,0.930
408.50,0.936
409.00,0.942
409.50,0.947
410.00,0.954
410.50,0.959
411.00,0.965
411.50,0.971
412.00,0.977
412.50,0.982
413.00,0.987
413.50,0.992
414.00,0.997
414.50,1.002
415.00,1.007
415.50,1.011
416.00,1.016
416.50,1.020
417.00,1.024
417.50,1.028
418.00,1.031
418.50,1.035
419.00,1.038
419.50,1.041
420.00,1.044
420.50,1.046
421.00,1.049
421.50,1.051
422.00,1.053
422.50,1.055
423.00,1.057
423.50,1.058
424.00,1.059
424.50,1.060
425.00,1.061
425.50,1.061
426.00,1.061
426.50,1.061
427.00,1.061
427.50,1.061
428.00,1.060
428.50,1.059
429.00,1.058
429.50,1.057
430.00,1.055
430.50,1.054
431.00,1.052
431.50,1.050
432.00,1.047
432.50,1.045
433.00,1.043
433.50,1.040
434.00,1.037
434.50,1.033
435.00,1.030
435.50,1.026
436.00,1.023
436.50,1.019
437.00,1.014
437.50,1.010
438.00,1.006
438.50,1.001
439.00,0.996
439.50,0.991
440.00,0.986
440.50,0.981
441.00,0.975
441.50,0.970
442.00,0.964
442.50,0.958
443.00,0.953
443.50,0.947
444.00,0.940
444.50,0.934
445.00,0.927
445.50,0.920
446.00,0.914
446.50,0.907
447.00,0.900
447.50,0.893
448.00,0.887
448.50,0.880
449.00,0.873
449.50,0.865
450.00,0.858
450.50,0.851
451.00,0.843
451.50,0.836
452.00,0.829
452.50,0.821
453.00,0.813
453.50,0.805
454.00,0.798
454.50,0.790
455.00,0.782
455.50,0.775
456.00,0.766
456.50,0.759
457.00,0.751
457.50,0.743
458.00,0.735
458.50,0.727
459.00,0.719
459.50,0.711
460.00,0.703
460.50,0.696
461.00,0.688
461.50,0.681
462.00,0.673
462.50,0.666
463.00,0.658
463.50,0.650
464.00,0.643
464.50,0.635
465.00,0.628
465.50,0.621
466.00,0.614
466.50,0.606
467.00,0.599
467.50,0.592
468.00,0.586
468.50,0.579
469.00,0.572
469.50,0.565
470.00,0.558
470.50,0.552
471.00,0.546
471.50,0.539
472.00,0.533
472.50,0.527
473.00,0.520
473.50,0.514
474.00,0.507
474.50,0.501
475.00,0.496
475.50,0.490
476.00,0.484
476.50,0.478
477.00,0.473
477.50,0.467
478.00,0.461
478.50,0.456
479.00,0.451
479.50,0.445
480.00,0.440
480.50,0.435
481.00,0.430
481.50,0.425
482.00,0.420
482.50,0.415
483.00,0.410
483.50,0.406
484.00,0.401
484.50,0.396
485.00,0.392
485.50,0.387
486.00,0.382
486.50,0.378
487.00,0.373
487.50,0.369
488.00,0.365
488.50,0.361
489.00,0.357
489.50,0.353
490.00,0.349
490.50,0.345
491.00,0.341
491.50,0.337
492.00,0.334
492.50,0.330
493.00,0.326
493.50,0.323
494.00,0.319
494.50,0.316
495.00,0.312
495.50,0.309
496.00,0.306
496.50,0.302
497.00,0.299
497.50,0.296
498.00,0.293
498.50,0.290
499.00,0.287
499.50,0.284
500.00,0.281
500.50,0.278
501.00,0.275
501.50,0.272
502.00,0.270
502.50,0.267
503.00,0.264
503.50,0.261
504.00,0.259
504.50,0.256
505.00,0.253
505.50,0.251
506.00,0.248
506.50,0.246
507.00,0.243
