'RawData - Storage 161900 - 0.5ml.spc'
'Wavelength nm.','Abs.'
497.50,0.779
498.00,0.771
498.50,0.763
499.00,0.754
499.50,0.746
500.00,0.738
500.50,0.731
501.00,0.723
501.50,0.715
502.00,0.708
502.50,0.701
503.00,0.693
503.50,0.686
504.00,0.679
504.50,0.672
505.00,0.665
505.50,0.658
506.00,0.652
506.50,0.644
507.00,0.638
507.50,0.632
508.00,0.625
508.50,0.618
509.00,0.612
509.50,0.606
510.00,0.600
510.50,0.594
511.00,0.589
511.50,0.583
512.00,0.577
512.50,0.571
513.00,0.566
513.50,0.561
514.00,0.555
514.50,0.549
515.00,0.544
515.50,0.539
516.00,0.533
516.50,0.528
517.00,0.523
517.50,0.518
518.00,0.514
518.50,0.509
519.00,0.504
519.50,0.499
520.00,0.494
520.50,0.490
521.00,0.485
521.50,0.481
522.00,0.476
522.50,0.472
523.00,0.468
523.50,0.464
524.00,0.459
524.50,0.455
525.00,0.451
525.50,0.447
526.00,0.443
526.50,0.439
527.00,0.435
527.50,0.431
528.00,0.427
528.50,0.423
529.00,0.419
529.50,0.416
530.00,0.412
530.50,0.408
531.00,0.405
531.50,0.401
532.00,0.398
532.50,0.394
533.00,0.391
533.50,0.387
534.00,0.384
534.50,0.381
535.00,0.377
535.50,0.374
536.00,0.371
536.50,0.368
537.00,0.364
537.50,0.361
538.00,0.359
538.50,0.356
539.00,0.353
539.50,0.350
540.00,0.347
540.50,0.344
541.00,0.341
541.50,0.338
542.00,0.336
542.50,0.333
543.00,0.331
543.50,0.328
544.00,0.326
544.50,0.323
545.00,0.320
545.50,0.318
546.00,0.315
546.50,0.313
547.00,0.311
547.50,0.308
548.00,0.306
548.50,0.304
549.00,0.301
549.50,0.299
550.00,0.297
550.50,0.295
551.00,0.292
551.50,0.290
552.00,0.288
552.50,0.286
553.00,0.284
553.50,0.282
554.00,0.280
554.50,0.278
555.00,0.276
555.50,0.274
556.00,0.272
556.50,0.270
557.00,0.268
557.50,0.266
558.00,0.265
558.50,0.263
559.00,0.261
559.50,0.259
560.00,0.258
560.50,0.256
561.00,0.254
561.50,0.252
562.00,0.251
562.50,0.249
563.00,0.247
563.50,0.246
564.00,0.244
564.50,0.243
565.00,0.241
565.50,0.240
566.00,0.238
566.50,0.236
567.00,0.235
567.50,0.233
568.00,0.232
568.50,0.230
569.00,0.229
569.50,0.228
570.00,0.226
570.50,0.225
571.00,0.223
571.50,0.222
572.00,0.221
572.50,0.219
573.00,0.218
573.50,0.217
574.00,0.215
574.50,0.214
575.00,0.213
575.50,0.212
576.00,0.210
576.50,0.209
577.00,0.208
577.50,0.207
578.00,0.206
578.50,0.204
579.00,0.203
579.50,0.202
580.00,0.201
580.50,0.200
581.00,0.199
581.50,0.198
582.00,0.196
582.50,0.195
583.00,0.194
583.50,0.193
584.00,0.192
584.50,0.191
585.00,0.190
585.50,0.189
586.00,0.188
586.50,0.187
587.00,0.186
587.50,0.185
588.00,0.184
588.50,0.183
589.00,0.182
589.50,0.181
590.00,0.180
590.50,0.179
591.00,0.178
591.50,0.178
592.00,0.177
592.50,0.176
593.00,0.175
593.50,0.174
594.00,0.173
594.50,0.172
595.00,0.171
595.50,0.171
596.00,0.170
596.50,0.169
597.00,0.168
597.50,0.168
598.00,0.167
598.50,0.166
599.00,0.165
