'RawData - Storage 160111 - 2ml_diluted2.spc'
'Wavelength nm.','Abs.'
497.00,0.826
497.50,0.817
498.00,0.809
498.50,0.801
499.00,0.792
499.50,0.783
500.00,0.775
500.50,0.767
501.00,0.759
501.50,0.751
502.00,0.744
502.50,0.736
503.00,0.728
503.50,0.720
504.00,0.713
504.50,0.705
505.00,0.698
505.50,0.691
506.00,0.684
506.50,0.676
507.00,0.670
507.50,0.663
508.00,0.656
508.50,0.648
509.00,0.642
509.50,0.636
510.00,0.629
510.50,0.623
511.00,0.617
511.50,0.611
512.00,0.604
512.50,0.598
513.00,0.592
513.50,0.587
514.00,0.581
514.50,0.575
515.00,0.569
515.50,0.563
516.00,0.558
516.50,0.553
517.00,0.547
517.50,0.542
518.00,0.537
518.50,0.532
519.00,0.526
519.50,0.521
520.00,0.516
520.50,0.512
521.00,0.507
521.50,0.502
522.00,0.497
522.50,0.493
523.00,0.488
523.50,0.484
524.00,0.479
524.50,0.475
525.00,0.471
525.50,0.466
526.00,0.462
526.50,0.458
527.00,0.454
527.50,0.450
528.00,0.446
528.50,0.442
529.00,0.438
529.50,0.435
530.00,0.431
530.50,0.427
531.00,0.424
531.50,0.420
532.00,0.417
532.50,0.413
533.00,0.410
533.50,0.406
534.00,0.403
534.50,0.399
535.00,0.396
535.50,0.393
536.00,0.390
536.50,0.386
537.00,0.383
537.50,0.380
538.00,0.377
538.50,0.374
539.00,0.371
539.50,0.368
540.00,0.366
540.50,0.363
541.00,0.360
541.50,0.357
542.00,0.355
542.50,0.352
543.00,0.349
543.50,0.347
544.00,0.344
544.50,0.342
545.00,0.339
545.50,0.337
546.00,0.334
546.50,0.332
547.00,0.329
547.50,0.327
548.00,0.325
548.50,0.323
549.00,0.320
549.50,0.318
550.00,0.316
550.50,0.314
551.00,0.312
551.50,0.310
552.00,0.307
552.50,0.305
553.00,0.303
553.50,0.301
554.00,0.299
554.50,0.297
555.00,0.295
555.50,0.294
556.00,0.292
556.50,0.290
557.00,0.288
557.50,0.286
558.00,0.284
558.50,0.282
559.00,0.281
559.50,0.279
560.00,0.277
560.50,0.275
561.00,0.274
561.50,0.272
562.00,0.270
562.50,0.269
563.00,0.267
563.50,0.265
564.00,0.264
564.50,0.262
565.00,0.261
565.50,0.259
566.00,0.258
566.50,0.256
567.00,0.255
567.50,0.253
568.00,0.252
568.50,0.250
569.00,0.249
569.50,0.248
570.00,0.246
570.50,0.245
571.00,0.243
571.50,0.242
572.00,0.241
572.50,0.239
573.00,0.238
573.50,0.237
574.00,0.236
574.50,0.234
575.00,0.233
575.50,0.232
576.00,0.231
576.50,0.229
577.00,0.228
577.50,0.227
578.00,0.226
578.50,0.225
579.00,0.224
579.50,0.222
580.00,0.221
580.50,0.220
581.00,0.219
581.50,0.218
582.00,0.217
582.50,0.216
583.00,0.215
583.50,0.214
584.00,0.213
584.50,0.212
585.00,0.211
585.50,0.210
586.00,0.209
586.50,0.208
587.00,0.207
587.50,0.206
588.00,0.205
588.50,0.204
589.00,0.203
589.50,0.202
590.00,0.201
590.50,0.200
591.00,0.199
591.50,0.198
592.00,0.197
592.50,0.196
593.00,0.196
593.50,0.195
594.00,0.194
594.50,0.193
595.00,0.192
595.50,0.191
596.00,0.190
596.50,0.190
597.00,0.189
597.50,0.188
598.00,0.187
598.50,0.187
599.00,0.186
599.50,0.185
600.00,0.184
600.50,0.183
601.00,0.183
601.50,0.182
602.00,0.181
602.50,0.180
603.00,0.180
603.50,0.179
604.00,0.178
604.50,0.177
605.00,0.177
605.50,0.176
606.00,0.175
606.50,0.175
607.00,0.174
607.50,0.173
608.00,0.173
608.50,0.172
609.00,0.171
609.50,0.171
610.00,0.170
610.50,0.169
611.00,0.169
611.50,0.168
612.00,0.167
612.50,0.167
613.00,0.166
613.50,0.166
614.00,0.165
614.50,0.164
615.00,0.164
615.50,0.163
616.00,0.162
616.50,0.162
617.00,0.161
617.50,0.161
618.00,0.160
618.50,0.159
619.00,0.159
619.50,0.158
620.00,0.158
620.50,0.157
621.00,0.157
621.50,0.156
622.00,0.156
622.50,0.155
623.00,0.154
623.50,0.154
624.00,0.153
624.50,0.153
625.00,0.152
625.50,0.152
626.00,0.151
626.50,0.151
627.00,0.150
627.50,0.150
628.00,0.149
628.50,0.149
629.00,0.148
629.50,0.148
630.00,0.147
630.50,0.147
631.00,0.146
631.50,0.146
632.00,0.145
632.50,0.145
633.00,0.144
633.50,0.144
634.00,0.143
634.50,0.143
635.00,0.142
635.50,0.142
636.00,0.142
636.50,0.141
637.00,0.141
637.50,0.140
638.00,0.140
638.50,0.139
639.00,0.139
639.50,0.138
640.00,0.138
640.50,0.137
641.00,0.137
641.50,0.137
642.00,0.136
642.50,0.136
643.00,0.135
643.50,0.135
644.00,0.135
644.50,0.134
645.00,0.134
645.50,0.133
646.00,0.133
646.50,0.133
647.00,0.132
647.50,0.132
648.00,0.131
648.50,0.131
649.00,0.131
649.50,0.130
650.00,0.130
650.50,0.130
651.00,0.129
651.50,0.129
652.00,0.129
652.50,0.128
653.00,0.128
653.50,0.127
654.00,0.127
654.50,0.127
655.00,0.126
655.50,0.126
656.00,0.126
656.50,0.125
657.00,0.125
657.50,0.125
658.00,0.124
658.50,0.124
659.00,0.124
659.50,0.123
660.00,0.123
660.50,0.122
661.00,0.122
661.50,0.122
662.00,0.121
662.50,0.121
663.00,0.121
663.50,0.121
664.00,0.120
664.50,0.120
665.00,0.120
665.50,0.119
666.00,0.119
666.50,0.119
667.00,0.118
667.50,0.118
668.00,0.118
668.50,0.117
669.00,0.117
669.50,0.117
670.00,0.116
670.50,0.116
671.00,0.116
671.50,0.116
672.00,0.115
672.50,0.115
673.00,0.115
673.50,0.114
674.00,0.114
674.50,0.114
675.00,0.113
675.50,0.113
676.00,0.113
676.50,0.113
677.00,0.112
677.50,0.112
678.00,0.112
678.50,0.111
679.00,0.111
679.50,0.111
680.00,0.111
680.50,0.110
681.00,0.110
681.50,0.110
682.00,0.109
682.50,0.109
683.00,0.109
683.50,0.109
684.00,0.108
684.50,0.108
685.00,0.108
685.50,0.107
686.00,0.107
686.50,0.107
687.00,0.107
687.50,0.106
688.00,0.106
688.50,0.106
689.00,0.106
689.50,0.105
690.00,0.105
690.50,0.105
691.00,0.105
691.50,0.104
692.00,0.104
692.50,0.104
693.00,0.104
693.50,0.103
694.00,0.103
694.50,0.103
695.00,0.103
695.50,0.102
696.00,0.102
696.50,0.102
697.00,0.102
697.50,0.101
698.00,0.101
698.50,0.101
699.00,0.101
699.50,0.100
700.00,0.100
700.50,0.100
701.00,0.100
701.50,0.100
702.00,0.099
702.50,0.099
703.00,0.099
703.50,0.099
704.00,0.098
704.50,0.098
705.00,0.098
705.50,0.098
706.00,0.097
706.50,0.097
707.00,0.097
707.50,0.097
708.00,0.097
708.50,0.096
709.00,0.096
709.50,0.096
710.00,0.096
710.50,0.095
711.00,0.095
711.50,0.095
712.00,0.095
712.50,0.095
713.00,0.094
713.50,0.094
714.00,0.094
714.50,0.094
715.00,0.094
715.50,0.093
716.00,0.093
716.50,0.093
717.00,0.093
717.50,0.092
718.00,0.092
718.50,0.092
719.00,0.092
719.50,0.092
720.00,0.092
720.50,0.091
721.00,0.091
721.50,0.091
722.00,0.091
722.50,0.091
723.00,0.090
723.50,0.090
724.00,0.090
724.50,0.090
725.00,0.089
725.50,0.089
