'RawData - Storage 160904 - 2ml_diluted4.spc'
'Wavelength nm.','Abs.'
300.00,0.078
300.50,0.077
301.00,0.076
301.50,0.074
302.00,0.073
302.50,0.072
303.00,0.070
303.50,0.068
304.00,0.067
304.50,0.066
305.00,0.064
305.50,0.063
306.00,0.062
306.50,0.061
307.00,0.059
307.50,0.057
308.00,0.056
308.50,0.055
309.00,0.054
309.50,0.052
310.00,0.051
310.50,0.050
311.00,0.049
311.50,0.048
312.00,0.047
312.50,0.046
313.00,0.045
313.50,0.044
314.00,0.043
314.50,0.042
315.00,0.041
315.50,0.041
316.00,0.040
316.50,0.039
317.00,0.038
317.50,0.038
318.00,0.037
318.50,0.037
319.00,0.037
319.50,0.036
320.00,0.036
320.50,0.036
321.00,0.035
321.50,0.035
322.00,0.035
322.50,0.035
323.00,0.035
323.50,0.035
324.00,0.035
324.50,0.035
325.00,0.036
325.50,0.036
326.00,0.036
326.50,0.037
327.00,0.037
327.50,0.038
328.00,0.038
328.50,0.039
329.00,0.039
329.50,0.040
330.00,0.041
330.50,0.042
331.00,0.042
331.50,0.043
332.00,0.045
332.50,0.046
333.00,0.048
333.50,0.049
334.00,0.051
334.50,0.053
335.00,0.054
335.50,0.057
336.00,0.059
336.50,0.061
337.00,0.063
337.50,0.066
338.00,0.069
338.50,0.072
339.00,0.074
339.50,0.077
340.00,0.080
340.50,0.083
341.00,0.085
341.50,0.088
342.00,0.091
342.50,0.094
343.00,0.097
343.50,0.100
344.00,0.103
344.50,0.106
345.00,0.109
345.50,0.111
346.00,0.114
346.50,0.116
347.00,0.119
347.50,0.121
348.00,0.124
348.50,0.126
349.00,0.129
349.50,0.130
350.00,0.132
350.50,0.135
351.00,0.137
351.50,0.138
352.00,0.140
352.50,0.143
353.00,0.144
353.50,0.146
354.00,0.148
354.50,0.149
355.00,0.151
355.50,0.153
356.00,0.155
356.50,0.156
357.00,0.158
357.50,0.160
358.00,0.162
358.50,0.164
359.00,0.165
359.50,0.167
360.00,0.169
360.50,0.171
361.00,0.173
361.50,0.175
362.00,0.177
362.50,0.179
363.00,0.181
363.50,0.183
364.00,0.185
364.50,0.187
365.00,0.190
365.50,0.192
366.00,0.194
366.50,0.196
367.00,0.199
367.50,0.201
368.00,0.203
368.50,0.205
369.00,0.207
369.50,0.210
370.00,0.212
370.50,0.214
371.00,0.216
371.50,0.219
372.00,0.221
372.50,0.223
373.00,0.226
373.50,0.228
374.00,0.231
374.50,0.233
375.00,0.235
375.50,0.237
376.00,0.239
376.50,0.241
377.00,0.243
377.50,0.246
378.00,0.248
378.50,0.250
379.00,0.252
379.50,0.254
380.00,0.257
380.50,0.259
381.00,0.261
381.50,0.263
382.00,0.265
382.50,0.267
383.00,0.269
383.50,0.272
384.00,0.274
384.50,0.276
385.00,0.278
385.50,0.280
386.00,0.282
386.50,0.285
387.00,0.287
387.50,0.289
388.00,0.291
388.50,0.293
389.00,0.296
389.50,0.298
390.00,0.300
390.50,0.303
391.00,0.305
391.50,0.307
392.00,0.310
392.50,0.312
393.00,0.315
393.50,0.317
394.00,0.320
394.50,0.322
395.00,0.325
395.50,0.328
396.00,0.330
396.50,0.333
397.00,0.335
397.50,0.338
398.00,0.341
398.50,0.344
399.00,0.346
399.50,0.349
400.00,0.351
400.50,0.354
401.00,0.357
401.50,0.360
402.00,0.362
402.50,0.365
403.00,0.368
403.50,0.371
404.00,0.374
404.50,0.377
405.00,0.379
405.50,0.382
406.00,0.384
406.50,0.387
407.00,0.390
407.50,0.393
408.00,0.395
