'RawData - Storage 161250 - 1ml_diluted1.spc'
'Wavelength nm.','Abs.'
300.00,0.311
300.50,0.306
301.00,0.300
301.50,0.294
302.00,0.289
302.50,0.282
303.00,0.277
303.50,0.271
304.00,0.265
304.50,0.259
305.00,0.253
305.50,0.248
306.00,0.243
306.50,0.236
307.00,0.231
307.50,0.225
308.00,0.219
308.50,0.214
309.00,0.209
309.50,0.204
310.00,0.199
310.50,0.194
311.00,0.190
311.50,0.186
312.00,0.182
312.50,0.178
313.00,0.174
313.50,0.171
314.00,0.167
314.50,0.164
315.00,0.161
315.50,0.158
316.00,0.155
316.50,0.152
317.00,0.150
317.50,0.147
318.00,0.145
318.50,0.143
319.00,0.141
319.50,0.140
320.00,0.138
320.50,0.137
321.00,0.136
321.50,0.135
322.00,0.134
322.50,0.134
323.00,0.134
323.50,0.134
324.00,0.134
324.50,0.135
325.00,0.135
325.50,0.136
326.00,0.138
326.50,0.139
327.00,0.141
327.50,0.143
328.00,0.145
328.50,0.147
329.00,0.149
329.50,0.152
330.00,0.155
330.50,0.159
331.00,0.161
331.50,0.166
332.00,0.170
332.50,0.175
333.00,0.180
333.50,0.185
334.00,0.191
334.50,0.198
335.00,0.204
335.50,0.212
336.00,0.219
336.50,0.227
337.00,0.236
337.50,0.245
338.00,0.254
338.50,0.263
339.00,0.273
339.50,0.283
340.00,0.294
340.50,0.304
341.00,0.315
341.50,0.326
342.00,0.335
342.50,0.346
343.00,0.355
343.50,0.365
344.00,0.375
344.50,0.385
345.00,0.394
345.50,0.403
346.00,0.411
346.50,0.419
347.00,0.427
347.50,0.434
348.00,0.440
348.50,0.447
349.00,0.455
349.50,0.461
350.00,0.468
350.50,0.474
351.00,0.479
351.50,0.484
352.00,0.490
352.50,0.495
353.00,0.500
353.50,0.505
354.00,0.510
354.50,0.516
355.00,0.522
355.50,0.526
356.00,0.531
356.50,0.536
357.00,0.542
357.50,0.547
358.00,0.552
358.50,0.558
359.00,0.563
359.50,0.569
360.00,0.575
360.50,0.582
361.00,0.587
361.50,0.593
362.00,0.599
362.50,0.605
363.00,0.611
363.50,0.617
364.00,0.624
364.50,0.631
365.00,0.637
365.50,0.644
366.00,0.652
366.50,0.659
367.00,0.667
367.50,0.673
