'RawData - Storage 161502 - 1ml_diluted2.spc'
'Wavelength nm.','Abs.'
300.00,0.127
300.50,0.125
301.00,0.123
301.50,0.121
302.00,0.119
302.50,0.117
303.00,0.114
303.50,0.112
304.00,0.110
304.50,0.107
305.00,0.105
305.50,0.104
306.00,0.102
306.50,0.099
307.00,0.097
307.50,0.094
308.00,0.092
308.50,0.090
309.00,0.088
309.50,0.086
310.00,0.084
310.50,0.082
311.00,0.081
311.50,0.079
312.00,0.078
312.50,0.076
313.00,0.075
313.50,0.074
314.00,0.073
314.50,0.071
315.00,0.070
315.50,0.069
316.00,0.067
316.50,0.066
317.00,0.065
317.50,0.064
318.00,0.063
318.50,0.062
319.00,0.062
319.50,0.061
320.00,0.061
320.50,0.060
321.00,0.059
321.50,0.059
322.00,0.058
322.50,0.058
323.00,0.058
323.50,0.058
324.00,0.058
324.50,0.059
325.00,0.059
325.50,0.059
326.00,0.060
326.50,0.061
327.00,0.061
327.50,0.062
328.00,0.062
328.50,0.063
329.00,0.064
329.50,0.066
330.00,0.067
330.50,0.068
331.00,0.069
331.50,0.071
332.00,0.072
332.50,0.074
333.00,0.076
333.50,0.078
334.00,0.080
334.50,0.083
335.00,0.085
335.50,0.088
336.00,0.091
336.50,0.094
337.00,0.097
337.50,0.101
338.00,0.104
338.50,0.108
339.00,0.111
339.50,0.115
340.00,0.120
340.50,0.123
341.00,0.128
341.50,0.132
342.00,0.136
342.50,0.140
343.00,0.143
343.50,0.147
344.00,0.151
344.50,0.155
345.00,0.159
345.50,0.161
346.00,0.164
346.50,0.168
347.00,0.171
347.50,0.174
348.00,0.176
348.50,0.179
349.00,0.182
349.50,0.184
350.00,0.187
350.50,0.189
351.00,0.191
351.50,0.193
352.00,0.195
352.50,0.197
353.00,0.199
353.50,0.202
354.00,0.204
354.50,0.205
355.00,0.207
355.50,0.209
356.00,0.211
356.50,0.213
357.00,0.215
357.50,0.217
358.00,0.220
358.50,0.222
359.00,0.223
359.50,0.226
360.00,0.228
360.50,0.230
361.00,0.233
361.50,0.235
362.00,0.237
362.50,0.239
363.00,0.242
363.50,0.245
364.00,0.247
364.50,0.249
365.00,0.252
365.50,0.254
366.00,0.257
366.50,0.259
367.00,0.262
367.50,0.265
368.00,0.268
368.50,0.270
369.00,0.273
369.50,0.275
370.00,0.279
370.50,0.281
371.00,0.284
371.50,0.286
372.00,0.289
372.50,0.292
373.00,0.295
373.50,0.297
374.00,0.300
374.50,0.302
375.00,0.306
375.50,0.308
376.00,0.310
376.50,0.313
377.00,0.315
377.50,0.318
378.00,0.320
378.50,0.323
379.00,0.325
379.50,0.328
380.00,0.330
380.50,0.333
381.00,0.335
381.50,0.338
382.00,0.340
382.50,0.343
383.00,0.345
383.50,0.348
384.00,0.350
384.50,0.353
385.00,0.356
385.50,0.359
386.00,0.361
386.50,0.364
387.00,0.366
387.50,0.369
388.00,0.372
388.50,0.374
389.00,0.378
389.50,0.380
390.00,0.383
390.50,0.386
391.00,0.389
391.50,0.393
392.00,0.396
392.50,0.399
393.00,0.402
393.50,0.405
394.00,0.408
394.50,0.412
395.00,0.415
395.50,0.419
396.00,0.422
396.50,0.426
397.00,0.429
397.50,0.433
398.00,0.436
398.50,0.440
399.00,0.443
399.50,0.446
400.00,0.450
400.50,0.454
401.00,0.457
401.50,0.461
402.00,0.465
402.50,0.469
403.00,0.473
403.50,0.477
404.00,0.481
404.50,0.484
405.00,0.488
405.50,0.492
406.00,0.496
406.50,0.500
407.00,0.504
407.50,0.508
408.00,0.512
408.50,0.516
409.00,0.520
409.50,0.524
410.00,0.527
410.50,0.531
411.00,0.535
411.50,0.539
412.00,0.543
412.50,0.546
413.00,0.550
413.50,0.553
414.00,0.557
414.50,0.561
415.00,0.564
415.50,0.568
416.00,0.571
416.50,0.574
417.00,0.577
417.50,0.580
418.00,0.584
418.50,0.586
419.00,0.589
419.50,0.592
420.00,0.594
420.50,0.597
421.00,0.600
421.50,0.602
422.00,0.604
422.50,0.606
423.00,0.608
423.50,0.611
424.00,0.613
424.50,0.614
425.00,0.616
425.50,0.618
426.00,0.619
426.50,0.620
427.00,0.622
427.50,0.623
428.00,0.624
428.50,0.625
429.00,0.626
429.50,0.627
430.00,0.627
430.50,0.628
431.00,0.628
431.50,0.629
432.00,0.629
432.50,0.629
433.00,0.629
433.50,0.629
434.00,0.628
434.50,0.628
435.00,0.628
435.50,0.627
436.00,0.627
436.50,0.626
437.00,0.625
437.50,0.624
438.00,0.623
438.50,0.622
439.00,0.621
439.50,0.619
440.00,0.618
440.50,0.616
441.00,0.615
441.50,0.613
442.00,0.611
442.50,0.610
443.00,0.608
443.50,0.606
444.00,0.604
444.50,0.602
445.00,0.599
445.50,0.597
446.00,0.595
446.50,0.592
447.00,0.590
447.50,0.587
448.00,0.585
448.50,0.582
449.00,0.579
449.50,0.576
450.00,0.574
450.50,0.571
451.00,0.568
451.50,0.565
452.00,0.562
452.50,0.559
453.00,0.555
453.50,0.552
454.00,0.549
454.50,0.545
455.00,0.542
455.50,0.539
456.00,0.535
456.50,0.531
457.00,0.528
457.50,0.524
458.00,0.520
458.50,0.517
459.00,0.512
459.50,0.509
460.00,0.505
460.50,0.501
461.00,0.497
461.50,0.494
462.00,0.490
462.50,0.486
463.00,0.482
463.50,0.478
464.00,0.474
464.50,0.470
465.00,0.466
465.50,0.462
466.00,0.458
466.50,0.454
467.00,0.450
467.50,0.446
468.00,0.442
468.50,0.438
469.00,0.434
469.50,0.430
470.00,0.426
470.50,0.423
471.00,0.419
471.50,0.415
472.00,0.411
472.50,0.407
473.00,0.403
473.50,0.399
474.00,0.395
474.50,0.392
475.00,0.388
475.50,0.384
476.00,0.380
476.50,0.376
477.00,0.373
477.50,0.369
478.00,0.365
478.50,0.362
479.00,0.358
479.50,0.355
480.00,0.351
480.50,0.347
481.00,0.344
481.50,0.341
482.00,0.337
482.50,0.334
483.00,0.330
483.50,0.327
484.00,0.324
484.50,0.320
485.00,0.317
485.50,0.314
486.00,0.310
486.50,0.307
487.00,0.304
487.50,0.301
488.00,0.298
488.50,0.295
489.00,0.291
489.50,0.289
490.00,0.286
490.50,0.283
491.00,0.280
491.50,0.277
492.00,0.274
492.50,0.271
493.00,0.269
493.50,0.266
494.00,0.263
494.50,0.261
495.00,0.258
495.50,0.255
496.00,0.253
496.50,0.250
497.00,0.248
497.50,0.245
498.00,0.243
498.50,0.241
499.00,0.238
499.50,0.236
500.00,0.234
500.50,0.231
501.00,0.229
501.50,0.227
502.00,0.225
502.50,0.223
503.00,0.220
503.50,0.218
504.00,0.216
504.50,0.214
505.00,0.212
505.50,0.210
506.00,0.208
506.50,0.206
507.00,0.204
507.50,0.203
508.00,0.201
508.50,0.199
509.00,0.197
509.50,0.195
510.00,0.193
510.50,0.191
511.00,0.190
511.50,0.188
512.00,0.186
512.50,0.185
513.00,0.183
513.50,0.181
514.00,0.180
514.50,0.178
515.00,0.176
515.50,0.175
516.00,0.173
516.50,0.172
517.00,0.170
517.50,0.169
