'RawData - Storage 162117 - 1.5ml_diluted2.spc'
'Wavelength nm.','Abs.'
497.00,0.235
497.50,0.233
498.00,0.230
498.50,0.228
499.00,0.225
499.50,0.223
500.00,0.221
500.50,0.219
501.00,0.216
501.50,0.214
502.00,0.212
502.50,0.210
503.00,0.208
503.50,0.206
504.00,0.204
504.50,0.202
505.00,0.200
505.50,0.198
506.00,0.196
506.50,0.194
507.00,0.192
507.50,0.190
508.00,0.188
508.50,0.186
509.00,0.185
509.50,0.183
510.00,0.181
510.50,0.179
511.00,0.178
511.50,0.176
512.00,0.174
512.50,0.173
513.00,0.171
513.50,0.170
514.00,0.168
514.50,0.166
515.00,0.165
515.50,0.163
516.00,0.162
516.50,0.160
517.00,0.159
517.50,0.157
518.00,0.156
518.50,0.154
519.00,0.153
519.50,0.152
520.00,0.150
520.50,0.149
521.00,0.148
521.50,0.146
522.00,0.145
522.50,0.144
523.00,0.142
523.50,0.141
524.00,0.140
524.50,0.139
525.00,0.137
525.50,0.136
526.00,0.135
526.50,0.134
527.00,0.133
527.50,0.132
528.00,0.130
528.50,0.129
529.00,0.128
529.50,0.127
530.00,0.126
530.50,0.125
531.00,0.124
531.50,0.123
532.00,0.122
532.50,0.121
533.00,0.120
533.50,0.119
534.00,0.118
534.50,0.117
535.00,0.116
535.50,0.115
536.00,0.114
536.50,0.113
537.00,0.112
537.50,0.111
538.00,0.110
538.50,0.109
539.00,0.108
539.50,0.107
540.00,0.107
540.50,0.106
541.00,0.105
541.50,0.104
542.00,0.103
542.50,0.103
543.00,0.102
543.50,0.101
544.00,0.100
544.50,0.099
545.00,0.099
545.50,0.098
546.00,0.097
546.50,0.097
547.00,0.096
547.50,0.095
548.00,0.095
548.50,0.094
549.00,0.093
549.50,0.093
550.00,0.092
550.50,0.091
551.00,0.091
551.50,0.090
552.00,0.089
552.50,0.089
553.00,0.088
553.50,0.087
554.00,0.087
554.50,0.086
555.00,0.086
555.50,0.085
556.00,0.085
556.50,0.084
557.00,0.084
557.50,0.083
558.00,0.083
558.50,0.082
559.00,0.081
559.50,0.081
560.00,0.080
560.50,0.080
561.00,0.079
561.50,0.079
562.00,0.079
562.50,0.078
563.00,0.078
563.50,0.077
564.00,0.077
564.50,0.076
565.00,0.076
565.50,0.075
566.00,0.075
566.50,0.075
567.00,0.074
567.50,0.074
568.00,0.073
568.50,0.073
569.00,0.072
569.50,0.072
570.00,0.072
570.50,0.071
571.00,0.071
571.50,0.070
572.00,0.070
572.50,0.070
573.00,0.069
573.50,0.069
574.00,0.069
574.50,0.068
575.00,0.068
575.50,0.068
576.00,0.067
576.50,0.067
577.00,0.066
577.50,0.066
578.00,0.066
578.50,0.066
579.00,0.065
579.50,0.065
580.00,0.065
580.50,0.064
581.00,0.064
581.50,0.064
582.00,0.063
582.50,0.063
583.00,0.063
583.50,0.062
584.00,0.062
584.50,0.062
585.00,0.061
585.50,0.061
586.00,0.061
586.50,0.061
587.00,0.060
587.50,0.060
588.00,0.060
588.50,0.059
589.00,0.059
589.50,0.059
590.00,0.059
590.50,0.058
591.00,0.058
591.50,0.058
592.00,0.058
592.50,0.057
593.00,0.057
593.50,0.057
594.00,0.056
594.50,0.056
595.00,0.056
595.50,0.056
596.00,0.055
596.50,0.055
597.00,0.055
597.50,0.055
598.00,0.054
598.50,0.054
599.00,0.054
599.50,0.054
600.00,0.054
600.50,0.053
601.00,0.053
601.50,0.053
602.00,0.053
602.50,0.052
603.00,0.052
603.50,0.052
604.00,0.052
604.50,0.051
605.00,0.051
605.50,0.051
606.00,0.051
606.50,0.051
607.00,0.050
607.50,0.050
608.00,0.050
608.50,0.050
609.00,0.050
609.50,0.049
610.00,0.049
610.50,0.049
611.00,0.049
611.50,0.048
612.00,0.048
612.50,0.048
613.00,0.048
613.50,0.048
614.00,0.047
614.50,0.047
615.00,0.047
615.50,0.047
616.00,0.047
616.50,0.046
617.00,0.046
617.50,0.046
618.00,0.046
618.50,0.046
619.00,0.046
619.50,0.045
620.00,0.045
620.50,0.045
621.00,0.045
621.50,0.045
622.00,0.044
622.50,0.044
623.00,0.044
623.50,0.044
624.00,0.044
624.50,0.044
625.00,0.043
625.50,0.043
626.00,0.043
626.50,0.043
627.00,0.043
627.50,0.043
628.00,0.042
628.50,0.042
629.00,0.042
629.50,0.042
630.00,0.042
630.50,0.042
631.00,0.042
631.50,0.041
632.00,0.041
632.50,0.041
633.00,0.041
633.50,0.041
634.00,0.041
634.50,0.040
635.00,0.040
635.50,0.040
636.00,0.040
636.50,0.040
637.00,0.040
637.50,0.040
638.00,0.039
638.50,0.039
639.00,0.039
639.50,0.039
640.00,0.039
640.50,0.039
641.00,0.039
641.50,0.039
642.00,0.038
642.50,0.038
643.00,0.038
643.50,0.038
644.00,0.038
644.50,0.038
645.00,0.038
645.50,0.038
646.00,0.037
646.50,0.037
647.00,0.037
647.50,0.037
648.00,0.037
648.50,0.037
649.00,0.037
649.50,0.037
650.00,0.037
650.50,0.036
651.00,0.036
651.50,0.036
652.00,0.036
652.50,0.036
653.00,0.036
653.50,0.036
654.00,0.036
654.50,0.036
655.00,0.036
655.50,0.035
656.00,0.035
656.50,0.035
657.00,0.035
657.50,0.035
658.00,0.035
658.50,0.035
659.00,0.035
659.50,0.035
660.00,0.035
660.50,0.034
661.00,0.034
661.50,0.034
662.00,0.034
662.50,0.034
663.00,0.034
663.50,0.034
664.00,0.034
664.50,0.034
665.00,0.034
665.50,0.033
666.00,0.033
666.50,0.033
667.00,0.033
667.50,0.033
668.00,0.033
668.50,0.033
669.00,0.033
669.50,0.033
670.00,0.033
670.50,0.033
671.00,0.033
671.50,0.032
672.00,0.032
672.50,0.032
673.00,0.032
673.50,0.032
674.00,0.032
674.50,0.032
675.00,0.032
675.50,0.032
676.00,0.032
676.50,0.032
677.00,0.031
677.50,0.031
678.00,0.031
678.50,0.031
679.00,0.031
679.50,0.031
680.00,0.031
680.50,0.031
681.00,0.031
681.50,0.031
682.00,0.031
682.50,0.031
683.00,0.030
683.50,0.030
684.00,0.030
684.50,0.030
685.00,0.030
685.50,0.030
686.00,0.030
686.50,0.030
687.00,0.030
687.50,0.030
688.00,0.030
688.50,0.030
689.00,0.030
689.50,0.029
690.00,0.029
690.50,0.029
691.00,0.029
691.50,0.029
692.00,0.029
692.50,0.029
693.00,0.029
693.50,0.029
694.00,0.029
694.50,0.029
695.00,0.029
695.50,0.029
696.00,0.028
696.50,0.028
697.00,0.028
697.50,0.028
698.00,0.028
698.50,0.028
699.00,0.028
699.50,0.028
700.00,0.028
700.50,0.028
701.00,0.028
701.50,0.028
702.00,0.028
702.50,0.028
703.00,0.027
703.50,0.027
704.00,0.027
704.50,0.027
705.00,0.027
705.50,0.027
706.00,0.027
706.50,0.027
707.00,0.027
707.50,0.027
708.00,0.027
708.50,0.027
709.00,0.027
709.50,0.026
710.00,0.026
710.50,0.026
711.00,0.026
711.50,0.026
712.00,0.026
712.50,0.026
713.00,0.026
713.50,0.026
714.00,0.026
714.50,0.026
715.00,0.026
715.50,0.026
716.00,0.026
716.50,0.026
717.00,0.025
717.50,0.025
718.00,0.025
718.50,0.025
719.00,0.025
719.50,0.025
720.00,0.025
720.50,0.025
721.00,0.025
721.50,0.025
722.00,0.025
722.50,0.025
723.00,0.025
723.50,0.025
724.00,0.025
724.50,0.025
725.00,0.025
725.50,0.024
726.00,0.024
726.50,0.024
727.00,0.024
727.50,0.024
728.00,0.024
728.50,0.024
729.00,0.024
729.50,0.024
730.00,0.024
730.50,0.024
731.00,0.024
731.50,0.024
732.00,0.024
732.50,0.024
733.00,0.024
733.50,0.024
734.00,0.024
734.50,0.023
735.00,0.023
735.50,0.023
736.00,0.023
736.50,0.023
737.00,0.023
737.50,0.023
738.00,0.023
738.50,0.023
739.00,0.023
739.50,0.023
740.00,0.023
740.50,0.023
741.00,0.023
741.50,0.023
742.00,0.023
742.50,0.023
743.00,0.023
743.50,0.023
744.00,0.023
744.50,0.022
745.00,0.022
745.50,0.022
746.00,0.022
746.50,0.022
747.00,0.022
747.50,0.022
748.00,0.022
748.50,0.022
749.00,0.022
749.50,0.022
750.00,0.022
750.50,0.022
751.00,0.022
751.50,0.022
752.00,0.022
752.50,0.022
753.00,0.022
753.50,0.022
754.00,0.022
754.50,0.021
755.00,0.021
755.50,0.021
756.00,0.021
756.50,0.021
757.00,0.021
757.50,0.021
758.00,0.021
758.50,0.021
759.00,0.021
759.50,0.021
760.00,0.021
760.50,0.021
761.00,0.021
761.50,0.021
762.00,0.021
762.50,0.021
763.00,0.021
763.50,0.021
764.00,0.021
764.50,0.021
765.00,0.021
765.50,0.021
766.00,0.020
766.50,0.020
767.00,0.020
767.50,0.020
768.00,0.020
768.50,0.020
769.00,0.020
769.50,0.020
770.00,0.020
770.50,0.020
771.00,0.020
771.50,0.020
772.00,0.020
772.50,0.020
773.00,0.020
773.50,0.020
774.00,0.020
774.50,0.020
775.00,0.020
775.50,0.020
776.00,0.020
776.50,0.020
777.00,0.020
777.50,0.020
778.00,0.020
778.50,0.020
779.00,0.020
779.50,0.019
780.00,0.019
780.50,0.019
781.00,0.019
781.50,0.019
782.00,0.019
782.50,0.019
783.00,0.019
783.50,0.019
784.00,0.019
784.50,0.019
785.00,0.019
785.50,0.019
786.00,0.019
786.50,0.019
787.00,0.019
787.50,0.019
788.00,0.019
788.50,0.019
789.00,0.019
789.50,0.019
790.00,0.019
790.50,0.019
791.00,0.019
791.50,0.019
792.00,0.019
792.50,0.019
793.00,0.019
793.50,0.019
794.00,0.019
794.50,0.019
795.00,0.019
795.50,0.019
796.00,0.018
796.50,0.018
797.00,0.018
797.50,0.018
798.00,0.018
798.50,0.018
799.00,0.018
799.50,0.018
800.00,0.018
